B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_003E,B19013_001E,B25064_001E,B05002_013E,B25002_001E,B25002_003E,B25003_002E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,med_income,med_rent,foreign_born_share,vacancy_rate,homeownership_rate,walk_to_work_share
1163,1120,0,31,850,348,133,187,11,421,0,250001.0,,,421,0,421,444,0,Block Group 3; Census Tract 8005; Cook County; Illinois,17,031,800500,3,15,Portage Park,170318005003,0.9630266552020637,0.0,0.026655202063628546,679,0.7988235294117647,0.0,250001.0,,,0.0,1.0,0.0
1609,1392,0,20,898,475,213,117,12,444,0,250001.0,,,480,36,444,724,0,Block Group 4; Census Tract 8005; Cook County; Illinois,17,031,800500,4,15,Portage Park,170318005004,0.8651336233685519,0.0,0.012430080795525171,817,0.9097995545657016,0.0,250001.0,,,0.075,1.0,0.0
951,868,0,0,546,199,227,77,0,276,0,250001.0,,,276,0,276,382,0,Block Group 5; Census Tract 8005; Cook County; Illinois,17,031,800500,5,15,Portage Park,170318005005,0.9127234490010515,0.0,0.0,503,0.9212454212454212,0.0,250001.0,,,0.0,1.0,0.0
1369,251,706,640,955,148,65,0,0,420,147,52708.0,874.0,,428,8,273,462,33,Block Group 1; Census Tract 2502; Cook County; Illinois,17,031,250200,1,25,Austin,170312502001,0.183345507669832,0.5157048940832725,0.4674945215485756,213,0.22303664921465968,0.35,52708.0,874.0,,0.018691588785046728,0.65,0.07142857142857142
1682,288,712,967,1045,76,32,0,9,481,259,46635.0,1022.0,,490,9,222,677,26,Block Group 2; Census Tract 2502; Cook County; Illinois,17,031,250200,2,25,Austin,170312502002,0.17122473246135553,0.4233055885850178,0.574910820451843,117,0.11196172248803828,0.5384615384615384,46635.0,1022.0,,0.018367346938775512,0.46153846153846156,0.03840472673559823
1313,310,718,293,909,194,282,33,0,442,90,88889.0,,,461,19,352,745,0,Block Group 1; Census Tract 2503; Cook County; Illinois,17,031,250300,1,25,Austin,170312503001,0.2361005331302361,0.5468392993145469,0.22315308453922314,509,0.55995599559956,0.20361990950226244,88889.0,,,0.04121475054229935,0.7963800904977375,0.0
1394,0,1207,167,675,0,0,0,0,396,234,31250.0,1359.0,,430,34,162,365,33,Block Group 2; Census Tract 2503; Cook County; Illinois,17,031,250300,2,25,Austin,170312503002,0.0,0.8658536585365854,0.11979913916786226,0,0.0,0.5909090909090909,31250.0,1359.0,,0.07906976744186046,0.4090909090909091,0.09041095890410959
1711,132,853,644,1312,80,62,71,0,588,266,63365.0,980.0,,663,75,322,864,96,Block Group 3; Census Tract 2503; Cook County; Illinois,17,031,250300,3,25,Austin,170312503003,0.0771478667445938,0.49853886616014026,0.37638807714786676,213,0.16234756097560976,0.4523809523809524,63365.0,980.0,,0.11312217194570136,0.5476190476190477,0.1111111111111111
426,149,277,149,318,26,0,0,0,178,103,28667.0,790.0,,226,48,75,145,15,Block Group 4; Census Tract 2503; Cook County; Illinois,17,031,250300,4,25,Austin,170312503004,0.34976525821596244,0.6502347417840375,0.34976525821596244,26,0.08176100628930817,0.5786516853932584,28667.0,790.0,,0.21238938053097345,0.42134831460674155,0.10344827586206896
414,110,304,88,198,71,0,0,0,136,61,42045.0,,,168,32,75,43,0,Block Group 1; Census Tract 2504; Cook County; Illinois,17,031,250400,1,25,Austin,170312504001,0.26570048309178745,0.7342995169082126,0.21256038647342995,71,0.35858585858585856,0.4485294117647059,42045.0,,,0.19047619047619047,0.5514705882352942,0.0
1338,485,634,555,806,76,64,0,0,352,185,28750.0,917.0,,352,0,167,319,0,Block Group 2; Census Tract 2504; Cook County; Illinois,17,031,250400,2,25,Austin,170312504002,0.3624813153961136,0.47384155455904337,0.4147982062780269,140,0.17369727047146402,0.5255681818181818,28750.0,917.0,,0.0,0.4744318181818182,0.0
1184,57,1039,145,843,21,22,0,0,544,381,38198.0,1075.0,,600,56,163,489,43,Block Group 3; Census Tract 2504; Cook County; Illinois,17,031,250400,3,25,Austin,170312504003,0.04814189189189189,0.8775337837837838,0.12246621621621621,43,0.051008303677342826,0.7003676470588235,38198.0,1075.0,,0.09333333333333334,0.29963235294117646,0.08793456032719836
1116,0,983,133,770,40,65,0,0,393,178,54364.0,1229.0,,466,73,215,531,0,Block Group 4; Census Tract 2504; Cook County; Illinois,17,031,250400,4,25,Austin,170312504004,0.0,0.8808243727598566,0.11917562724014337,105,0.13636363636363635,0.4529262086513995,54364.0,1229.0,,0.15665236051502146,0.5470737913486005,0.0
1461,98,1200,239,1200,71,0,34,0,605,294,56505.0,1198.0,,694,89,311,686,0,Block Group 5; Census Tract 2504; Cook County; Illinois,17,031,250400,5,25,Austin,170312504005,0.06707734428473648,0.8213552361396304,0.16358658453114305,105,0.0875,0.4859504132231405,56505.0,1198.0,,0.1282420749279539,0.5140495867768595,0.0
831,300,466,227,650,109,116,68,86,360,27,110227.0,,,369,9,333,433,0,Block Group 1; Census Tract 2505; Cook County; Illinois,17,031,250500,1,25,Austin,170312505001,0.36101083032490977,0.5607701564380265,0.273164861612515,379,0.583076923076923,0.075,110227.0,,,0.024390243902439025,0.925,0.0
860,404,328,128,799,273,116,0,0,432,160,39679.0,1626.0,,506,74,272,461,0,Block Group 2; Census Tract 2505; Cook County; Illinois,17,031,250500,2,25,Austin,170312505002,0.4697674418604651,0.3813953488372093,0.14883720930232558,389,0.48685857321652065,0.37037037037037035,39679.0,1626.0,,0.14624505928853754,0.6296296296296297,0.0
914,535,23,337,668,98,243,0,20,415,12,116319.0,,,415,0,403,475,0,Block Group 3; Census Tract 2505; Cook County; Illinois,17,031,250500,3,25,Austin,170312505003,0.5853391684901532,0.02516411378555799,0.3687089715536105,361,0.5404191616766467,0.02891566265060241,116319.0,,,0.0,0.9710843373493976,0.0
1346,265,501,429,851,140,170,0,0,408,33,161288.0,,,448,40,375,511,0,Block Group 4; Census Tract 2505; Cook County; Illinois,17,031,250500,4,25,Austin,170312505004,0.19687964338781574,0.3722139673105498,0.3187221396731055,310,0.36427732079905994,0.08088235294117647,161288.0,,,0.08928571428571429,0.9191176470588235,0.0
1248,793,72,579,883,298,251,20,0,419,20,153320.0,,,431,12,399,866,0,Block Group 5; Census Tract 2505; Cook County; Illinois,17,031,250500,5,25,Austin,170312505005,0.6354166666666666,0.057692307692307696,0.4639423076923077,569,0.6443941109852774,0.0477326968973747,153320.0,,,0.027842227378190254,0.9522673031026253,0.0
